gamelog_url,player,season,reason
https://www.basketball-reference.com/players/a/arida01/gamelog/2025,Dario Šarić,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/b/barneha01/gamelog/2025,Harrison Barnes,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/p/poeltja01/gamelog/2025,Jakob Poeltl,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/j/jonessp01/gamelog/2025,Spencer Jones,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/s/sassema01/gamelog/2025,Marcus Sasser,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/a/arida01/gamelog/2025,Dario Šarić,2025,Missing optional dependency 'html5lib'.  Use pip or conda to install html5lib.
https://www.basketball-reference.com/players/a/arida01/gamelog/2025,Dario Šarić,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/b/barneha01/gamelog/2025,Harrison Barnes,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/w/wilsoja01/gamelog/2025,Jalen Wilson,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/h/hayesja01/gamelog/2023,Jaxson Hayes,2023,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/j/johnsca01/gamelog/2024,Cameron Johnson,2024,"BrowserContext.close: Target page, context or browser has been closed"
https://www.basketball-reference.com/players/a/arida01/gamelog/2025,Dario Šarić,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/b/barneha01/gamelog/2025,Harrison Barnes,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/w/wilsoja01/gamelog/2025,Jalen Wilson,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/h/hayesja01/gamelog/2023,Jaxson Hayes,2023,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/j/johnsca01/gamelog/2024,Cameron Johnson,2024,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/s/smithja01/gamelog/2025,Jabari Smith Jr.,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/d/dukejda01/gamelog/2023,David Duke Jr.,2023,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/h/harklel01/gamelog/2025,Elijah Harkless,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/d/daviste01/gamelog/2025,Terence Davis,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/m/martija01/gamelog/2025,Jaylen Martin,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/s/smithja01/gamelog/2023,Jalen Smith,2023,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/p/paytoel01/gamelog/2023,Elfrid Payton,2023,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/t/trentga01/gamelog/2025,Gary Trent Jr.,2025,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/y/yabusgu01/gamelog/2024,Guerschon Yabusele,2024,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/j/jovini01/gamelog/2024,Nikola Jović,2024,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/p/paytoel01/gamelog/2024,Elfrid Payton,2024,No gamelog table found (pgl_basic / player_game_log_reg)
https://www.basketball-reference.com/players/h/hardati01/gamelog/2025,Tim Hardaway Jr.,2025,No gamelog table found (pgl_basic / player_game_log_reg)
